id,identifier,height,weight,base_experience,order,is_default,flavor_text
84,doduo,14,392,62,97,1,"A bird that makes
up for its poor
flying with itsfast foot speed.
Leaves giant
footprints."
85,dodrio,18,852,161,98,1,"Uses its three
brains to execute
complex plans.While two heads
sleep, one head
stays awake."
86,seel,11,900,65,99,1,"The protruding
horn on its head
is very hard.It is used for
bashing through
thick ice."
87,dewgong,17,1200,166,100,1,"Stores thermal
energy in its
body. Swims at asteady 8 knots
even in intensely
cold waters."
88,grimer,9,300,65,101,1,"Appears in filthy
areas. Thrives by
sucking uppolluted sludge
that is pumped
out of factories."
89,muk,12,300,175,102,1,"Thickly covered
with a filthy,
vile sludge. Itis so toxic, even
its footprints
contain poison."
90,shellder,3,40,61,103,1,"Its hard shell
repels any kind
of attack.It is vulnerable
only when its
shell is open."
91,cloyster,15,1325,184,104,1,"When attacked, it
launches its
horns in quickvolleys. Its
innards have
never been seen."
92,gastly,13,1,62,105,1,"Almost invisible,
this gaseous
POKéMON cloaksthe target and
puts it to sleep
without notice."
93,haunter,16,1,142,106,1,"Because of its
ability to slip
through blockwalls, it is said
to be from an­
other dimension."
94,gengar,15,405,225,107,1,"Under a full moon,
this POKéMON
likes to mimicthe shadows of
people and laugh
at their fright."
95,onix,88,2100,77,109,1,"As it grows, the
stone portions of
its body hardento become similar
to a diamond, but
colored black."
96,drowzee,10,324,66,111,1,"Puts enemies to
sleep then eats
their dreams.Occasionally gets
sick from eating
bad dreams."
97,hypno,16,756,169,112,1,"When it locks eyes
with an enemy, it
will use a mix ofPSI moves such as
HYPNOSIS and
CONFUSION."
98,krabby,4,65,65,113,1,"Its pincers are
not only powerful
weapons, they areused for balance
when walking
sideways."
99,kingler,13,600,166,114,1,"The large pincer
has 10000 hp of
crushing power.However, its huge
size makes it
unwieldy to use."
100,voltorb,5,104,66,115,1,"Usually found in
power plants.
Easily mistakenfor a POKé BALL,
they have zapped
many people."
101,electrode,12,666,168,116,1,"It stores electric
energy under very
high pressure.It often explodes
with little or no
provocation."
102,exeggcute,4,25,65,117,1,"Often mistaken
for eggs.
When disturbed,they quickly
gather and attack
in swarms."
103,exeggutor,20,1200,182,118,1,"Legend has it that
on rare occasions,
one of its headswill drop off and
continue on as an
EXEGGCUTE."
104,cubone,4,65,64,119,1,"Because it never
removes its skull
helmet, no onehas ever seen
this POKéMON's
real face."
105,marowak,10,450,149,120,1,"The bone it holds
is its key weapon.
It throws thebone skillfully
like a boomerang
to KO targets."
106,hitmonlee,15,498,159,122,1,"When in a hurry,
its legs lengthen
progressively.It runs smoothly
with extra long,
loping strides."
107,hitmonchan,14,502,159,123,1,"While apparently
doing nothing, it
fires punches inlightning fast
volleys that are
impossible to see."
108,lickitung,12,655,77,125,1,"Its tongue can be
extended like a
chameleon's. Itleaves a tingling
sensation when it
licks enemies."
109,koffing,6,10,68,127,1,"Because it stores
several kinds of
toxic gases inits body, it is
prone to exploding
without warning."
110,weezing,12,95,172,128,1,"Where two kinds
of poison gases
meet, 2 KOFFINGscan fuse into a
WEEZING over many
years."
111,rhyhorn,10,1150,69,129,1,"Its massive bones
are 1000 times
harder than humanbones. It can
easily knock a
trailer flying."
112,rhydon,19,1200,170,130,1,"Protected by an
armor-like hide,
it is capable ofliving in molten
lava of 3,600
degrees."
113,chansey,11,346,395,133,1,"A rare and elusive
POKéMON that is
said to bringhappiness to those
who manage to get
it."
114,tangela,10,350,87,135,1,"The whole body is
swathed with wide
vines that aresimilar to sea­
weed. Its vines
shake as it walks."
115,kangaskhan,22,800,172,137,1,"The infant rarely
ventures out of
its mother'sprotective pouch
until it is 3
years old."
116,horsea,4,80,59,139,1,"Known to shoot
down flying bugs
with precisionblasts of ink
from the surface
of the water."
117,seadra,12,250,154,140,1,"Capable of swim­
ming backwards by
rapidly flappingits wing-like
pectoral fins and
stout tail."
118,goldeen,6,150,64,142,1,"Its tail fin
billows like an
elegant ballroomdress, giving it
the nickname of
the Water Queen."
119,seaking,13,390,158,143,1,"In the autumn
spawning season,
they can be seenswimming power­
fully up rivers
and creeks."
120,staryu,8,345,68,144,1,"An enigmatic
POKéMON that can
effortlesslyregenerate any
appendage it
loses in battle."
121,starmie,11,800,182,145,1,"Its central core
glows with the
seven colors ofthe rainbow. Some
people value the
core as a gem."
122,mr-mime,13,545,161,147,1,"If interrupted
while it is
miming, it willslap around the
offender with its
broad hands."
123,scyther,15,560,100,148,1,"With ninja-like
agility and speed,
it can create theillusion that
there is more
than one."
124,jynx,14,406,159,152,1,"It seductively
wiggles its hips
as it walks. Itcan cause people
to dance in
unison with it."
125,electabuzz,11,300,172,154,1,"Normally found
near power plants,
they can wanderaway and cause
major blackouts
in cities."
126,magmar,13,445,173,157,1,"Its body always
burns with an
orange glow thatenables it to
hide perfectly
among flames."
127,pinsir,15,550,175,159,1,"If it fails to
crush the victim
in its pincers,it will swing it
around and toss
it hard."
128,tauros,14,884,172,161,1,"When it targets
an enemy, it
charges furiouslywhile whipping its
body with its
long tails."
129,magikarp,9,100,40,162,1,"In the distant
past, it was
somewhat strongerthan the horribly
weak descendants
that exist today."
130,gyarados,65,2350,189,163,1,"Rarely seen in
the wild. Huge
and vicious, itis capable of
destroying entire
cities in a rage."
131,lapras,25,2200,187,165,1,"A POKéMON that
has been over­
hunted almost toextinction. It
can ferry people
across the water."
132,ditto,3,40,101,166,1,"Capable of copying
an enemy's genetic
code to instantlytransform itself
into a duplicate
of the enemy."
133,eevee,3,65,65,167,1,"Its genetic code
is irregular.
It may mutate ifit is exposed to
radiation from
element STONEs."
134,vaporeon,10,290,184,168,1,"Lives close to
water. Its long
tail is ridgedwith a fin which
is often mistaken
for a mermaid's."
135,jolteon,8,245,184,169,1,"It accumulates
negative ions in
the atmosphere toblast out 10000-
volt lightning
bolts."
136,flareon,9,250,184,170,1,"When storing
thermal energy in
its body, itstemperature could
soar to over 1600
degrees."
137,porygon,8,365,79,176,1,"A POKéMON that
consists entirely
of programmingcode. Capable of
moving freely in
cyberspace."
138,omanyte,4,75,71,179,1,"Although long
extinct, in rare
cases, it can begenetically
resurrected from
fossils."
139,omastar,10,350,173,180,1,"A prehistoric
POKéMON that died
out when itsheavy shell made
it impossible to
catch prey."
140,kabuto,5,115,71,181,1,"A POKéMON that
was resurrected
from a fossilfound in what was
once the ocean
floor eons ago."
141,kabutops,13,405,173,182,1,"Its sleek shape is
perfect for swim­
ming. It slashesprey with its
claws and drains
the body fluids."
142,aerodactyl,18,590,180,183,1,"A ferocious, pre­
historic POKéMON
that goes for theenemy's throat
with its serrated
saw-like fangs."
143,snorlax,21,4600,189,186,1,"Very lazy. Just
eats and sleeps.
As its rotundbulk builds, it
becomes steadily
more slothful."
144,articuno,17,554,261,187,1,"A legendary bird
POKéMON that is
said to appear todoomed people who
are lost in icy
mountains."
145,zapdos,16,526,261,188,1,"A legendary bird
POKéMON that is
said to appearfrom clouds while
dropping enormous
lightning bolts."
146,moltres,20,600,261,189,1,"Known as the
legendary bird of
fire. Every flapof its wings
creates a dazzling
flash of flames."
147,dratini,18,33,60,190,1,"Long considered a
mythical POKéMON
until recentlywhen a small
colony was found
living underwater."
148,dragonair,40,165,147,191,1,"A mystical POKéMON
that exudes a
gentle aura.Has the ability
to change climate
conditions."
149,dragonite,22,2100,270,192,1,"An extremely
rarely seen
marine POKéMON.Its intelligence
is said to match
that of humans."
150,mewtwo,20,1220,306,193,1,"It was created by
a scientist after
years of horrificgene splicing and
DNA engineering
experiments."
151,mew,4,40,270,196,1,"So rare that it
is still said to
be a mirage bymany experts. Only
a few people have
seen it worldwide."
152,chikorita,9,64,64,197,1,"A sweet aroma
gently wafts from
the leaf on itshead. It is docile
and loves to soak
up the sun's rays."
153,bayleef,12,158,142,198,1,"The scent of
spices comes from
around its neck.Somehow, sniffing
it makes you want
to fight."
154,meganium,18,1005,236,199,1,"The aroma that
rises from its
petals contains asubstance that
calms aggressive
feelings."
155,cyndaquil,5,79,62,200,1,"It is timid, and
always curls it­
self up in a ball.If attacked, it
flares up its back
for protection."
156,quilava,9,190,142,201,1,"Be careful if it
turns its back
during battle. Itmeans that it will
attack with the
fire on its back."
157,typhlosion,17,795,240,202,1,"If its rage peaks,
it becomes so hot
that anything thattouches it will
instantly go
up in flames."
158,totodile,6,95,63,203,1,"Its well-developed
jaws are powerful
and capable ofcrushing anything.
Even its trainer
must be careful."
159,croconaw,11,250,142,204,1,"If it loses a
fang, a new one
grows back in itsplace. There are
always 48 fangs
lining its mouth."
160,feraligatr,23,888,239,205,1,"When it bites with
its massive and
powerful jaws, itshakes its head
and savagely tears
its victim up."
161,sentret,8,60,43,206,1,"A very cautious
POKéMON, it raises
itself up usingits tail to get a
better view of its
surroundings."
162,furret,18,325,145,207,1,"It makes a nest to
suit its long and
skinny body. Thenest is impossible
for other POKéMON
to enter."
163,hoothoot,7,212,52,208,1,"It always stands
on one foot. It
changes feet sofast, the movement
can rarely be
seen."
164,noctowl,16,408,155,209,1,"Its eyes are
specially adapted.
They concentrateeven faint light
and enable it to
see in the dark."
165,ledyba,10,108,53,210,1,"It is very timid.
It will be afraid
to move if it isalone. But it will
be active if it is
in a group."
166,ledian,14,356,137,211,1,"When the stars
flicker in the
night sky, itflutters about,
scattering a
glowing powder."
167,spinarak,5,85,50,212,1,"It lies still in
the same pose for
days in its web,waiting for its
unsuspecting prey
to wander close."
168,ariados,11,335,137,213,1,"It spins string
not only from its
rear but also fromits mouth. It is
hard to tell which
end is which."
169,crobat,18,750,241,50,1,"It flies so si­
lently through the
dark on its fourwings that it may
not be noticed
even when nearby."
170,chinchou,5,120,66,214,1,"It shoots positive
and negative elec­
tricity betweenthe tips of its
two antennae and
zaps its enemies."
171,lanturn,12,225,161,215,1,"The light it emits
is so bright that
it can illuminatethe sea's surface
from a depth of
over three miles."
172,pichu,3,20,41,29,1,"It is not yet
skilled at storing
electricity.It may send out a
jolt if amused
or startled."
173,cleffa,3,30,44,40,1,"Because of its
unusual, star-like
silhouette, peoplebelieve that it
came here on
a meteor."
174,igglybuff,3,10,42,45,1,"It has a very soft
body. If it starts
to roll, it willbounce all over
and be impossible
to stop."
175,togepi,3,15,49,216,1,"The shell seems to
be filled with
joy. It is saidthat it will share
good luck when
treated kindly."
176,togetic,6,32,142,217,1,"They say that it
will appear before
kindhearted, car­ing people and
shower them with
happiness."
177,natu,2,20,64,219,1,"Because its wings
aren't yet fully
grown, it has tohop to get around.
It is always star­
ing at something."
178,xatu,15,150,165,220,1,"They say that it
stays still and
quiet because itis seeing both the
past and future at
the same time."
179,mareep,6,78,56,221,1,"If static elec­
tricity builds in
its body, itsfleece doubles in
volume. Touching
it will shock you."
180,flaaffy,8,133,128,222,1,"As a result of
storing too much
electricity, itdeveloped patches
where even downy
wool won't grow."
181,ampharos,14,615,225,223,1,"The tail's tip
shines brightly
and can be seenfrom far away. It
acts as a beacon
for lost people."
182,bellossom,4,58,216,54,1,"BELLOSSOM gather
at times and
appear to dance.They say that the
dance is a ritual
to summon the sun."
183,marill,4,85,88,226,1,"The tip of its
tail, which con­
tains oil that islighter than wa­
ter, lets it swim
without drowning."
184,azumarill,8,285,185,227,1,"By keeping still
and listening in­
tently, it cantell what is in
even wild, fast-
moving rivers."
185,sudowoodo,12,380,144,229,1,"Although it always
pretends to be a
tree, its composi­tion appears to be
closer to a rock
than a plant."
186,politoed,11,339,225,72,1,"If POLIWAG and
POLIWHIRL hear its
echoing cry, theyrespond by gather­
ing from far and
wide."
187,hoppip,4,5,50,230,1,"To keep from being
blown away by the
wind, they gatherin clusters. They
do enjoy gentle
breezes, though."
188,skiploom,6,10,119,231,1,"The bloom on top
of its head opens
and closes as thetemperature fluc­
tuates up and
down."
189,jumpluff,8,30,203,232,1,"Once it catches
the wind, it deft­
ly controls itscotton-puff spores
to float, even
around the world."
190,aipom,8,115,72,233,1,"Its tail is so
powerful that it
can use it to graba tree branch and
hold itself up in
the air."
191,sunkern,3,18,36,235,1,"It may drop out of
the sky suddenly.
If attacked by aSPEAROW, it will
violently shake
its leaves."
192,sunflora,8,85,149,236,1,"It converts sun­
light into energy.
In the darknessafter sunset, it
closes its petals
and becomes still."
193,yanma,12,380,78,237,1,"If it flaps its
wings really fast,
it can generateshock waves that
will shatter win­
dows in the area."
194,wooper,4,85,42,239,1,"This POKéMON lives
in cold water. It
will leave thewater to search
for food when it
gets cold outside."
195,quagsire,14,750,151,240,1,"This carefree
POKéMON has an
easy-going nature.While swimming, it
always bumps into
boat hulls."
196,espeon,9,265,184,171,1,"It uses the fine
hair that covers
its body to senseair currents and
predict its ene­
my's actions."
197,umbreon,10,270,184,172,1,"When agitated,
this POKéMON pro­
tects itself byspraying poisonous
sweat from its
pores."
198,murkrow,5,21,81,241,1,"Feared and loathed
by many, it is
believed to bringmisfortune to all
those who see it
at night."
199,slowking,20,795,172,92,1,"It has incredible
intellect and in­
tuition. Whateverthe situation, it
remains calm and
collected."
200,misdreavus,7,10,87,243,1,"It likes playing
mischievous tricks
such as screamingand wailing to
startle people at
night."
201,unown,5,50,118,245,1,"Their shapes look
like hieroglyphs
on ancient tab­lets. It is said
that the two are
somehow related."
202,wobbuffet,13,285,142,247,1,"It hates light and
shock. If attack­
ed, it inflatesits body to pump
up its counter­
strike."
203,girafarig,15,415,159,248,1,"Its tail has a
small brain of its
own. Beware! Ifyou get close, it
may react to your
scent and bite."
204,pineco,6,72,58,249,1,"It likes to make
its shell thicker
by adding layersof tree bark. The
additional weight
doesn't bother it."
205,forretress,12,1258,163,250,1,"Its entire body is
shielded by a
steel-hard shell.What lurks inside
the armor is a
total mystery."
206,dunsparce,15,140,145,251,1,"When spotted, this
POKéMON escapes
backward by furi­ously boring into
the ground with
its tail."
207,gligar,11,648,86,252,1,"It flies straight
at its target's
face then clampsdown on the star­
tled victim to
inject poison."
208,steelix,92,4000,179,110,1,"Its body has been
compressed deep
under the ground.As a result, it is
even harder than a
diamond."
209,snubbull,6,78,60,254,1,"Although it looks
frightening, it is
actually kind andaffectionate. It
is very popular
among women."
210,granbull,14,487,158,255,1,"It is actually
timid and easily
spooked. If at­tacked, it flails
about to fend off
its attacker."
211,qwilfish,5,39,86,256,1,"To fire its poison
spikes, it must
inflate its bodyby drinking over
2.6 gallons of
water all at once."
212,scizor,18,1180,175,149,1,"It swings its eye-
patterned pincers
up to scare itsfoes. This makes
it look like it
has three heads."
213,shuckle,6,205,177,257,1,"The BERRIES it
stores in its
vase-like shelldecompose and
become a gooey
liquid."
214,heracross,15,540,175,258,1,"This powerful
POKéMON thrusts
its prized hornunder its enemies’
bellies then lifts
and throws them."
215,sneasel,9,280,86,260,1,"Its paws conceal
sharp claws. If
attacked, it sud­denly extends the
claws and startles
its enemy."
216,teddiursa,6,88,66,262,1,"If it finds honey,
its crescent mark
glows. It alwayslicks its paws
because they are
soaked with honey."
217,ursaring,18,1258,175,263,1,"Although it is a
good climber, it
prefers to snaptrees with its
forelegs and eat
fallen BERRIES."
218,slugma,7,350,50,264,1,"It never sleeps.
It has to keep
moving because ifit stopped, its
magma body would
cool and harden."
219,magcargo,8,550,144,265,1,"The shell on its
back is just skin
that has cooledand hardened. It
breaks easily with
a slight touch."
220,swinub,4,65,50,266,1,"It rubs its snout
on the ground to
find and dig upfood. It sometimes
discovers hot
springs."
221,piloswine,11,558,158,267,1,"Because the long
hair all over its
body obscures itssight, it just
keeps charging
repeatedly."
222,corsola,6,50,133,269,1,"It continuously
sheds and grows.
The tip of itshead is prized as
a treasure for its
beauty."
223,remoraid,6,120,60,270,1,"It has superb ac­
curacy. The water
it shoots out canstrike even moving
prey from more
than 300 feet."
224,octillery,9,285,168,271,1,"It traps enemies
with its suction-
cupped tentaclesthen smashes them
with its rock-hard
head."
225,delibird,9,160,116,272,1,"It carries food
all day long.
There are talesabout lost people
who were saved by
the food it had."
226,mantine,21,2200,163,274,1,"As it majestically
swims, it doesn't
care if REMORAIDattach to it for
scavenging its
leftovers."
227,skarmory,17,505,163,275,1,"Its sturdy wings
look heavy, but
they are actuallyhollow and light,
allowing it to fly
freely in the sky."
228,houndour,6,108,66,276,1,"It uses different
kinds of cries for
communicating withothers of its kind
and for pursuing
its prey."
229,houndoom,14,350,175,277,1,"If you are burned
by the flames it
shoots from itsmouth, the pain
will never go
away."
230,kingdra,18,1520,243,141,1,"It is said that it
usually hides in
underwater caves.It can create
whirlpools by
yawning."
231,phanpy,5,335,66,279,1,"It swings its long
snout around play­
fully, but becauseit is so strong,
that can be dan­
gerous."
232,donphan,11,1200,175,280,1,"It has sharp, hard
tusks and a rugged
hide. Its TACKLEis strong enough
to knock down a
house."
233,porygon2,6,325,180,177,1,"This upgraded
version of PORYGON
is designed forspace exploration.
It can't fly,
though."
234,stantler,14,712,163,281,1,"The curved antlers
subtly change the
flow of air tocreate a strange
space where real­
ity is distorted."
235,smeargle,12,580,88,282,1,"A special fluid
oozes from the tip
of its tail. Itpaints the fluid
everywhere to mark
its territory."
236,tyrogue,7,210,42,121,1,"It is always
bursting with en­
ergy. To make it­self stronger, it
keeps on fighting
even if it loses."
237,hitmontop,14,480,159,124,1,"If you become
enchanted by its
smooth, elegant,dance-like kicks,
you may get
drilled hard."
238,smoochum,4,60,61,151,1,"Its lips are the
most sensitive
parts on its body.It always uses its
lips first to
examine things."
239,elekid,6,235,72,153,1,"It rotates its
arms to generate
electricity, butit tires easily,
so it charges up
only a little bit."
240,magby,7,214,73,156,1,"Each and every
time it inhales
and exhales, hotembers dribble out
of its mouth and
nostrils."
241,miltank,12,755,172,283,1,"Its milk is packed
with nutrition,
making it theultimate beverage
for the sick or
weary."
242,blissey,15,468,608,134,1,"Anyone who takes
even one bite of
BLISSEY's egg be­comes unfailingly
caring and pleas­
ant to everyone."
243,raikou,19,1780,261,284,1,"The rain clouds it
carries let it
fire thunderboltsat will. They say
that it descended
with lightning."
244,entei,21,1980,261,285,1,"Volcanoes erupt
when it barks. Un­
able to restrainits extreme power,
it races headlong
around the land."
245,suicune,20,1870,261,286,1,"Said to be the
reincarnation of
north winds, itcan instantly
purify filthy,
murky water."
246,larvitar,6,720,60,287,1,"It feeds on soil.
After it has eaten
a large mountain,it will fall
asleep so it can
grow."
247,pupitar,12,1520,144,288,1,"Its shell is as
hard as sheet
rock, and it isalso very strong.
Its THRASHING can
topple a mountain."
248,tyranitar,20,2020,270,289,1,"Its body can't be
harmed by any sort
of attack, so itis very eager to
make challenges
against enemies."
249,lugia,52,2160,306,291,1,"It is said that it
quietly spends its
time deep at thebottom of the sea
because its powers
are too strong."
